"EntrezID","GeneID","GeneName","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25"
10401,"PIAS3","protein inhibitor of activated STAT, 3",4.921167036,5.791554263,5.192672933,5.13433038,5.722446375,5.770766772,5.67145247,5.728322225,5.326861455,5.634156878,5.078773322,6.168553326,6.205923546,6.85904644,4.654509272,5.315019178,5.686201219,5.244430788,6.191412638,4.85843729,5.024860022,5.687243448,5.697942137,5.370452797,5.943608333,6.813062044,6.527852812,5.113913923,4.734066868,5.287484406,5.00417191,5.970472122,5.56779733,6.615901242,5.465531545
5290,"PIK3CA","phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha",6.558346479,6.660491286,6.710860051,6.581406746,6.546799101,6.52663602,7.296554673,6.926085393,6.723636497,6.604642481,5.305327739,4.46065048,5.327411755,4.48795793,6.242946066,5.620097001,6.293961655,6.101211648,4.70094077,6.427231997,6.283506049,6.278798302,5.724095412,5.951827271,4.71966284,4.781978817,4.522248227,4.519191272,6.38804691,6.358221321,6.216334663,5.99814508,5.99227669,4.919352139,5.261371476
5292,"PIM1","pim-1 oncogene",6.213492363,6.239273747,6.666238227,6.08637299,5.881756779,5.73313977,7.546595351,6.426948582,6.942779216,5.041293189,4.946580493,4.97693235,4.838512995,6.046149602,7.28185549,4.683638332,5.233140368,6.552301153,2.455377319,4.700685193,2.548156774,4.967461387,5.24897714,4.420197364,5.401696381,2.967078248,4.519637624,2.487492676,3.366184415,2.570949539,3.013155722,3.010356927,4.817289362,2.503343597,4.019867841
5781,"PTPN11","protein tyrosine phosphatase, non-receptor type 11",8.952026276,8.781436825,8.768487093,9.143215658,8.736435942,8.896150279,9.141959688,8.800455475,9.085310149,8.81658107,7.224403189,6.359436104,8.001129147,6.890710929,8.021671372,8.105518477,8.301185211,7.604744241,6.985320327,8.143350341,8.320394165,7.193338272,7.099599147,8.138494494,6.538258715,6.944879085,6.152351103,7.455037512,7.498153807,7.322445621,7.939436387,7.150677327,7.846345262,6.765836417,6.783132597
5771,"PTPN2","protein tyrosine phosphatase, non-receptor type 2",7.340533918,7.138351641,5.990672382,7.126350165,7.879037924,7.131391212,8.223377032,7.013781962,8.524677278,7.613314515,6.285586186,6.340820595,6.325228471,6.903549907,6.465749157,5.748833517,6.465585278,6.288450686,5.862772127,6.275393672,5.677796418,6.00482495,6.648105372,5.876100621,6.74078797,6.059918813,6.464788771,6.205968957,5.656212949,5.911995943,5.606190145,5.579772106,6.337608212,6.203618425,6.747852766
5777,"PTPN6","protein tyrosine phosphatase, non-receptor type 6",3.888502531,3.616560371,5.004289903,4.40268459,4.621313069,3.794984574,2.759885383,2.754364312,3.192321853,3.200459207,5.511974125,7.0702669,6.357495913,7.361943426,5.102749942,4.805812718,4.962072131,4.899598616,5.20168243,4.481037515,5.277859379,5.122219895,5.971836566,4.608758914,5.859698949,5.348706941,5.988326071,5.703906212,4.409590869,4.742215883,4.843831753,4.264122323,5.003020155,5.159324797,5.487542094
5894,"RAF1","v-raf-1 murine leukemia viral oncogene homolog 1",6.437625597,6.402133109,6.964328668,6.625508428,6.49700931,6.763777896,7.227984313,6.921511646,6.728592912,6.698198791,6.465779302,5.203332902,6.303107991,5.402242559,5.871383423,5.877727851,5.968204333,6.13065125,5.649475759,5.788137475,6.035431094,5.518588664,5.843653272,5.711566448,6.166248668,5.934776861,6.153193489,5.430757259,6.12455568,6.03115845,5.494291479,5.88597111,5.968674682,5.956916961,5.835245894
122809,"SOCS4","suppressor of cytokine signaling 4",5.752593155,6.208475316,5.912716511,6.018059682,5.559823309,5.682216433,5.814364973,6.699065641,6.386483766,6.644616869,5.239707579,4.431622418,5.416985962,4.855749613,5.915920049,5.7947656,6.331227745,5.663483625,5.216713847,5.706323754,5.652986496,5.423935449,5.5160214,5.685923554,5.185524296,5.365394203,4.955989359,4.084028403,6.306793758,5.777706164,6.096901373,6.127501676,5.482873154,5.614878503,5.171319643
6654,"SOS1","son of sevenless homolog 1 (Drosophila)",7.353218106,7.503059938,7.708122225,7.373209901,7.062823145,7.077047968,6.937957429,6.842421963,7.327744741,6.923097084,6.499676775,5.844428068,6.927942775,6.112423879,7.67450604,6.65867565,7.377571827,7.487961297,6.480082702,7.308769078,7.241259183,7.157709091,7.032416006,7.36621638,6.512811202,6.196746431,6.252441157,6.132916007,7.331950289,7.477380942,7.541763196,6.981634929,6.753594497,6.297392498,6.446402521
10254,"STAM2","signal transducing adaptor molecule (SH3 domain and ITAM motif) 2",6.012265483,6.095188247,6.641169291,6.103403191,6.131986832,5.90054573,5.884583994,6.249281924,6.02574216,6.303053507,5.488738798,5.579193147,6.512473204,5.352277978,6.296655672,6.543073689,6.5404669,6.144347186,6.323993408,6.716596175,7.115691497,6.216759117,5.897176954,6.693901947,5.599362446,6.208177027,5.009068402,5.546721307,6.981361611,7.112692835,6.206222533,6.729504506,6.679201807,6.22001659,5.913206042
6772,"STAT1","signal transducer and activator of transcription 1, 91kDa",6.723766843,7.544860013,6.596605935,7.037271737,7.354652106,6.577948918,8.53855301,7.597985351,8.731535711,7.155205911,7.610495097,6.228853228,7.233788049,6.439031069,9.225308707,8.776311153,7.530971673,7.19351395,6.795011599,7.40462617,7.965850231,8.825923941,8.49054708,8.008085952,8.673346202,6.46795511,5.25175654,6.457475346,9.332716745,6.734109176,7.593110732,7.156829011,9.268874926,7.143808812,7.850298328
